Cost,Product Name,Category,Sub-Category,Dimensions (W x D x H),Material,Colour/Finish,Product URL,Image URL,Notes
£495,Kea Table Lamp,Lighting,Table Lamp,H66 x W45 x D45cm / H27 x W18 x D18,,dark wood,https://www.sohohome.com/products/kea-table-lamp/79939741,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1100%2cheight=1222%2ctrim=388%3b0%3b389%3b0/images/original/126345-79939741-listingjpg.jpg,
£695,Esme Table Lamp,Lighting,Table Lamp,"H60 x W43 x D43cm / H24 x W17 x D17""",glass,light green,https://www.sohohome.com/products/esme-table-lamp/79956748,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1100%2cheight=1222%2ctrim=388%3b0%3b389%3b0/images/original/181560-79956748-listingjpg.jpg,
£195,Finn Table Lamp,Lighting,Table Lamp,"H62.2 x W40 x D40cm / H24.5 x W15.8 x D15.8""",ceramic,Green,https://www.sohohome.com/products/finn-table-light-green/74533216,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/12876-74533216-listing.jpg,
£260,Facet Table Lamp,Lighting,Table Lamp,"H70 x W37 x D37cm / H28 x W15 x D15""",Oak,oak,https://www.sohohome.com/products/facet-table-lamp/74542256,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/281133-74542256-listingjpg.jpg,
£250,Silvanus Square Cushion,soft furnishings,Cushion,"H50 x W50 x D10cm / H19.7 x W19.7 x D3.9""",jacquard,olive-green,https://www.sohohome.com/products/silvanus-square-cushion/78110873,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/262340-78110873-listingjpg.jpg,
£250,Daxton Square Cushion,soft furnishings,Cushion,"H50 x W50 x D12cm / H20 x W20 x D5""",jacquard,black and white,https://www.sohohome.com/products/daxton-square-cushion/79996850,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1100%2cheight=1222%2ctrim=389%3b0%3b389%3b0/images/original/219835-79996850-listingjpg.jpg,
£350,Pierre Frey Tsomba Cushion,soft furnishings,Cushion,"H50 x W50 x D5cm / H19.7 x W19.7 x D2""",Viscose,linen and black,https://www.sohohome.com/products/pierre-frey-tsomba-cushion-cocoa/79906231,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/186481-79906231-listingjpg.jpg,
"£3,295",Ted Coffee Table,table,coffee table,"H40 x W120 x D120cm / H16 x W47 x D47""",wood,wood,https://www.sohohome.com/products/ted-coffee-table/79987759,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/188058-79987759-listingjpg.jpg,
"£1,495",Tisbury Side Table,table,side table,"H55 x W43 x D43cm / H21.7 x W16.9 x D16.9""",Marble,black and white,https://www.sohohome.com/products/tisbury-side-table-noir-grande-marble/78189886,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1100%2cheight=1222%2ctrim=389%3b0%3b389%3b0/images/original/259492-78189886-listingjpg.jpg,
£995,Tisbury Side Table,table,side table,"H55 x W43 x D43cm / H21.7 x W16.9 x D16.9""",Marble,Grey,https://www.sohohome.com/products/tisbury-side-table/72706998,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1100%2cheight=1222%2ctrim=388%3b0%3b389%3b0/images/original/205496-72706998-listingjpg.jpg,
£895,Tisbury Side Table,table,side table,"H55 x W43 x D43cm / H21.7 x W16.9 x D16.9""",Marble,Jurassic Green,https://www.sohohome.com/products/tisbury-side-table/74546704,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/30114-74546704-listing.jpg,
"£2,995",Imani Coffee Table,table,coffee table,H38 x W90 x D90cm / H14.9 x W35.4 x D35.4,oak,oak and Brazilian Quartzite ,https://www.sohohome.com/products/imani-coffee-table/78142973,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=389%3b0%3b389%3b0/images/original/274855-78142973-listingjpg.jpg,
"£3,995",Oxley Coffee Table,table,coffee table,"H35 x W120 x D120cm / H13.8 x W47.2 x D47.2""",Marble,Marble,https://www.sohohome.com/products/oxley-coffee-table-large-dark-emperador/79963593,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/124293-79963593-listingjpg.jpg,
"£2,495",Tomasso Coffee Table,table,coffee table,"H38 x W114 x D38cm / H15 x W45 x D15""",Engineered Cherry Burl Veneevr,green,https://www.sohohome.com/products/tomasso-coffee-table/72777189,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=389%3b0%3b389%3b0/images/original/229065-7277189-detail1jpg.jpg,
"£1,295",Flynn Side Table,table,side table,"H55 x W45 x D55cm / H22 x W18 x D22""",Oak wood,wood,https://www.sohohome.com/products/flynn-side-table-lacorado-marble/79989814,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/188293-79989814-hoverjpg.jpg,
"£1,695",Pascal Coffee Table,table,coffee table,"H38 x W120 x D80cm / H15 x W47 x D31""",Natural Oak,oak,https://www.sohohome.com/products/pascal-coffee-table/79989807,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/188283-79989807-listingjpg.jpg,
£995,Wallace Coffee Table,table,coffee table,"H40 x W122 x D56cm / H15.8 x W48 x D22""",Mappa Burl,wood,https://www.sohohome.com/products/wallace-coffee-table-mappa-burl/74545677,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/176188-74545677-listingjpg.jpg,
£795,Barrel Side Table,table,side table,"H60 x W38 x D38cm / H23.6 x W15 x D15""",Oak,Oak,https://www.sohohome.com/products/barrel-side-table-oak/74545714,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1100%2cheight=1222%2ctrim=388%3b0%3b389%3b0/images/original/249642-74545714-listingjpg.jpg,
